area,language,family,split,task,checked,issue,comment
construction,de,assertion,train,roles,,,
construction,de,assertion,train,negation,,,
construction,de,assertion,train,space,,,
construction,de,assertion,train,quantity,,,
construction,de,truth_question,dev_a,roles,,,
construction,de,truth_question,dev_a,negation,,,
construction,de,truth_question,dev_a,space,,,
construction,de,truth_question,dev_a,quantity,,,
construction,de,reported_clause,dev_b,roles,,,
construction,de,reported_clause,dev_b,negation,,,
construction,de,reported_clause,dev_b,space,,,
construction,de,reported_clause,dev_b,quantity,,,
construction,de,conditional,test,roles,,,
construction,de,conditional,test,negation,,,
construction,de,conditional,test,space,,,
construction,de,conditional,test,quantity,,,
noun_forms,de,,,nom,,,
noun_forms,de,,,acc,,,
noun_forms,de,,,dat,,,
noun_forms,de,,,plural,,,
vocabulary,de,,,template-inventory.json,,,
