area,language,family,split,task,checked,issue,comment
construction,en,assertion,train,roles,,,
construction,en,assertion,train,negation,,,
construction,en,assertion,train,space,,,
construction,en,assertion,train,quantity,,,
construction,en,truth_question,dev_a,roles,,,
construction,en,truth_question,dev_a,negation,,,
construction,en,truth_question,dev_a,space,,,
construction,en,truth_question,dev_a,quantity,,,
construction,en,reported_clause,dev_b,roles,,,
construction,en,reported_clause,dev_b,negation,,,
construction,en,reported_clause,dev_b,space,,,
construction,en,reported_clause,dev_b,quantity,,,
construction,en,conditional,test,roles,,,
construction,en,conditional,test,negation,,,
construction,en,conditional,test,space,,,
construction,en,conditional,test,quantity,,,
noun_forms,en,,,nom,,,
noun_forms,en,,,acc,,,
noun_forms,en,,,dat,,,
noun_forms,en,,,plural,,,
vocabulary,en,,,template-inventory.json,,,
