area,language,family,split,task,checked,issue,comment
construction,ko,assertion,train,roles,,,
construction,ko,assertion,train,negation,,,
construction,ko,assertion,train,space,,,
construction,ko,assertion,train,quantity,,,
construction,ko,truth_question,dev_a,roles,,,
construction,ko,truth_question,dev_a,negation,,,
construction,ko,truth_question,dev_a,space,,,
construction,ko,truth_question,dev_a,quantity,,,
construction,ko,reported_clause,dev_b,roles,,,
construction,ko,reported_clause,dev_b,negation,,,
construction,ko,reported_clause,dev_b,space,,,
construction,ko,reported_clause,dev_b,quantity,,,
construction,ko,conditional,test,roles,,,
construction,ko,conditional,test,negation,,,
construction,ko,conditional,test,space,,,
construction,ko,conditional,test,quantity,,,
noun_forms,ko,,,nom,,,
noun_forms,ko,,,acc,,,
noun_forms,ko,,,dat,,,
noun_forms,ko,,,plural,,,
vocabulary,ko,,,template-inventory.json,,,
